"p","U:0","U:1","U:2","CH2","CH2NHNH2","CH2NNH2","CH2O","CH3","CH3NHNH","CH3NHNH2","CH3NHNH2L","CH3NN","CH3NNH","CH3NNH2","CH3O","CH3ONO2","CH4","CN","CO","CO2","H","H2","H2O","HCN","HCO","HNC","HNCO","HNO","HNO3","HO2","HONO","N","N2","N2H2","N2O","NCO","NH","NH2","NH3","NNH","NO","NO2","O","OH","PaSR::kappa","T","Yp_CH2","Yp_CH2NHNH2","Yp_CH2NNH2","Yp_CH2O","Yp_CH3","Yp_CH3NHNH","Yp_CH3NHNH2","Yp_CH3NHNH2L","Yp_CH3NN","Yp_CH3NNH","Yp_CH3NNH2","Yp_CH3O","Yp_CH3ONO2","Yp_CH4","Yp_CN","Yp_CO","Yp_CO2","Yp_H","Yp_H2","Yp_H2O","Yp_HCN","Yp_HCO","Yp_HNC","Yp_HNCO","Yp_HNO","Yp_HNO3","Yp_HO2","Yp_HONO","Yp_N","Yp_N2","Yp_N2H2","Yp_N2O","Yp_NCO","Yp_NH","Yp_NH2","Yp_NH3","Yp_NNH","Yp_NO","Yp_NO2","Yp_O","Yp_OH","Ypsum_Liquid","Ypsum_Vapor","Ysum","alphaLiquid","alphaSgs","alphaVapor","alphaVaporSmooth","cellLevel","cellMask_Liquid","cellMask_Vapor","coeffC_MMHEvap","coeffV_MMHEvap","dQ","diffErr_Liquid","diffErr_Vapor","divComp","divPhaseChange","evap_mask","kappaI","mask_LiquidReaction","mask_MMHEvap","muAll","muSgs","omega_LiquidReaction","omega_MMHEvap","overlap","p_rgh","p_vap_MMHEvap","phaseArea","refinementField","rho","rhoAlpha_Liquid","rhoAlpha_Vapor","sigma","xL_MMHEvap","x_MMHEvap","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1e+05,0,-0.29792,5.2014,2.7868e-09,7.4005e-06,1.2706e-07,1.2075e-05,1.3374e-06,3.877e-06,6.4973e-06,0,3.0632e-06,1.2102e-05,7.1431e-07,7.2311e-09,3.8931e-17,2.5171e-06,1.08e-14,1.9818e-05,3.3414e-06,8.2574e-09,7.3105e-07,5.6232e-05,1.2724e-10,5.743e-08,2.7425e-13,1.4473e-09,1.7025e-08,3.2102e-11,9.6953e-06,9.2041e-09,2.9632e-09,0.0003477,7.33e-06,0.99921,4.7032e-11,3.2562e-08,4.8799e-10,1.3328e-08,5.4021e-12,2.2846e-06,1.8155e-07,4.3991e-05,1.1594e-05,0.99968,1200.4,2.7868e-09,7.4005e-06,1.2706e-07,1.2075e-05,1.3374e-06,3.877e-06,6.4973e-06,0,3.0632e-06,1.2102e-05,7.1431e-07,7.2311e-09,3.8931e-17,2.5171e-06,1.08e-14,1.9818e-05,3.3414e-06,8.2574e-09,7.3105e-07,5.6232e-05,1.2724e-10,5.743e-08,2.7425e-13,1.4473e-09,1.7025e-08,3.2102e-11,9.6953e-06,9.2041e-09,2.9632e-09,0.0003477,7.33e-06,0.99921,4.7032e-11,3.2562e-08,4.8799e-10,1.3328e-08,5.4021e-12,2.2846e-06,1.8155e-07,4.3991e-05,1.1594e-05,0,0.99976,0.99976,5.1722e-30,7.6027e-09,1,1,0,0,1,0,0,3.7571e-06,0,-1.242e-07,-29.45,0.79247,1,0,0,0,4.8361e-05,7.6027e-09,0,0,0,4.1127,8.21e+06,0,0.020269,0.44083,0,0.44083,0,0,6.2053e-06,1,0.0025,0,0.0025,0.005
1e+05,0,-0.32269,5.2053,1.1905e-08,1.5283e-05,2.4388e-07,1.9084e-05,4.663e-06,9.5852e-06,4.1103e-05,0,6.1803e-06,3.6208e-05,3.9487e-06,2.3829e-08,1.2887e-16,6.9453e-06,2.937e-14,2.8131e-05,4.6643e-06,1.424e-08,1.201e-06,0.00010193,3.0362e-10,8.1711e-08,6.1996e-13,3.1673e-09,4.5603e-08,3.549e-11,1.0378e-05,2.6415e-08,6.2819e-09,0.00047351,1.3939e-05,0.99873,6.0982e-11,1.0439e-07,1.7061e-09,3.2892e-08,1.0025e-11,3.4886e-06,2.1102e-07,2.1416e-05,1.1204e-05,0.99945,1201.3,1.1905e-08,1.5283e-05,2.4388e-07,1.9084e-05,4.663e-06,9.5852e-06,4.1103e-05,0,6.1803e-06,3.6208e-05,3.9487e-06,2.3829e-08,1.2887e-16,6.9453e-06,2.937e-14,2.8131e-05,4.6643e-06,1.424e-08,1.201e-06,0.00010193,3.0362e-10,8.1711e-08,6.1996e-13,3.1673e-09,4.5603e-08,3.549e-11,1.0378e-05,2.6415e-08,6.2819e-09,0.00047351,1.3939e-05,0.99873,6.0982e-11,1.0439e-07,1.7061e-09,3.2892e-08,1.0025e-11,3.4886e-06,2.1102e-07,2.1416e-05,1.1204e-05,0,0.99954,0.99954,6.3262e-29,8.2383e-09,1,1,0,0,1,0,0,7.5058e-06,0,-2.1245e-07,-34.299,1.4116,1,0,0,0,4.8373e-05,8.2383e-09,0,0,0,3.542,8.21e+06,0,0.020748,0.44046,0,0.44046,0,0,3.9262e-05,1,0.0026,0,0.0026,0.005
1e+05,0,-0.34795,5.2128,2.4364e-08,2.6176e-05,4.2275e-07,2.3845e-05,9.9224e-06,1.6909e-05,0.000193,0,7.8022e-06,7.808e-05,1.091e-05,3.8975e-08,1.7001e-16,1.657e-05,4.519e-14,3.0994e-05,5.7292e-06,1.6002e-08,1.4763e-06,0.00015244,5.882e-10,5.5858e-08,1.1943e-12,5.8273e-09,8.0242e-08,1.8973e-11,8.2465e-06,4.8719e-08,1.0438e-08,0.00064079,2.3402e-05,0.99789,6.3947e-11,2.4034e-07,6.5425e-09,7.7423e-08,1.3802e-11,4.5749e-06,1.7413e-07,6.2501e-06,5.9962e-06,0.9994,1202.1,2.4364e-08,2.6176e-05,4.2275e-07,2.3845e-05,9.9224e-06,1.6909e-05,0.000193,0,7.8022e-06,7.808e-05,1.091e-05,3.8975e-08,1.7001e-16,1.657e-05,4.519e-14,3.0994e-05,5.7292e-06,1.6002e-08,1.4763e-06,0.00015244,5.882e-10,5.5858e-08,1.1943e-12,5.8273e-09,8.0242e-08,1.8973e-11,8.2465e-06,4.8719e-08,1.0438e-08,0.00064079,2.3402e-05,0.99789,6.3947e-11,2.4034e-07,6.5425e-09,7.7423e-08,1.3802e-11,4.5749e-06,1.7413e-07,6.2501e-06,5.9962e-06,0,0.99916,0.99916,2.2249e-28,8.9992e-09,1,1,0,0,1,0,0,7.9369e-06,0,-3.4603e-07,-34.251,1.8583,1,0,0,0,4.8374e-05,8.9992e-09,0,0,0,2.8875,8.21e+06,0,0.021663,0.44009,0,0.4401,0,0,0.00018441,1,0.0027,0,0.0027,0.005
1e+05,0,-0.37342,5.2231,2.9856e-08,3.7861e-05,6.5512e-07,2.5118e-05,1.3385e-05,2.2714e-05,0.00063353,0,7.837e-06,0.00012931,1.7789e-05,3.6443e-08,1.0953e-16,3.2213e-05,4.4264e-14,2.9072e-05,6.4996e-06,1.5761e-08,1.5474e-06,0.00019404,9.0877e-10,1.9776e-08,1.9148e-12,8.7869e-09,1.029e-07,4.9532e-12,5.4199e-06,5.8701e-08,1.3909e-08,0.00086688,3.4743e-05,0.99645,5.7712e-11,3.8462e-07,2.0827e-08,1.7006e-07,1.74e-11,5.525e-06,1.143e-07,1.1358e-06,1.8344e-06,0.99948,1202.6,2.9856e-08,3.7861e-05,6.5512e-07,2.5118e-05,1.3385e-05,2.2714e-05,0.00063353,0,7.837e-06,0.00012931,1.7789e-05,3.6443e-08,1.0953e-16,3.2213e-05,4.4264e-14,2.9072e-05,6.4996e-06,1.5761e-08,1.5474e-06,0.00019404,9.0877e-10,1.9776e-08,1.9148e-12,8.7869e-09,1.029e-07,4.9532e-12,5.4199e-06,5.8701e-08,1.3909e-08,0.00086688,3.4743e-05,0.99645,5.7712e-11,3.8462e-07,2.0827e-08,1.7006e-07,1.74e-11,5.525e-06,1.143e-07,1.1358e-06,1.8344e-06,0,0.99851,0.99851,3.7601e-28,9.7327e-09,1,1,0,0,1,0,0,5.7514e-06,0,-5.3338e-07,-31.607,2.0712,1,0,0,0,4.8351e-05,9.7327e-09,0,0,0,2.1828,8.21e+06,0,0.023651,0.43982,0,0.43983,0,0,0.00060565,1,0.0028,0,0.0028,0.005
1e+05,0,-0.39819,5.2344,2.8083e-08,4.9989e-05,9.2446e-07,2.4682e-05,1.2956e-05,2.7558e-05,0.001616,0,8.0569e-06,0.00018783,2.3463e-05,2.4326e-08,4.7625e-17,5.1575e-05,3.4335e-14,2.6289e-05,7.098e-06,1.7747e-08,1.6505e-06,0.00022865,1.1953e-09,7.5843e-09,2.6463e-12,1.1453e-08,1.1204e-07,1.1214e-12,3.6092e-06,5.6567e-08,1.6216e-08,0.0011876,4.7065e-05,0.99398,5.0286e-11,4.5025e-07,4.7513e-08,3.4083e-07,2.2656e-11,6.5341e-06,7.3677e-08,2.4493e-07,6.253e-07,0.99949,1202.7,2.8083e-08,4.9989e-05,9.2446e-07,2.4682e-05,1.2956e-05,2.7558e-05,0.001616,0,8.0569e-06,0.00018783,2.3463e-05,2.4326e-08,4.7625e-17,5.1575e-05,3.4335e-14,2.6289e-05,7.098e-06,1.7747e-08,1.6505e-06,0.00022865,1.1953e-09,7.5843e-09,2.6463e-12,1.1453e-08,1.1204e-07,1.1214e-12,3.6092e-06,5.6567e-08,1.6216e-08,0.0011876,4.7065e-05,0.99398,5.0286e-11,4.5025e-07,4.7513e-08,3.4083e-07,2.2656e-11,6.5341e-06,7.3677e-08,2.4493e-07,6.253e-07,0,0.99749,0.99749,2.1237e-28,1.0235e-08,1,1,0,0,1,0,0,4.9873e-06,0,-7.7553e-07,-25.289,2.33,1,0,0,0,4.8291e-05,1.0235e-08,0,0,0,1.4671,8.21e+06,0,0.027695,0.43968,0,0.43968,0,0,0.0015462,1,0.0029,0,0.0029,0.005
1e+05,0,-0.42103,5.2424,2.4109e-08,6.2844e-05,1.2118e-06,2.3808e-05,9.9843e-06,3.3003e-05,0.0035448,0,7.887e-06,0.0002577,3.0446e-05,1.4353e-08,1.9481e-17,7.0531e-05,2.4821e-14,2.403e-05,7.5962e-06,2.1538e-08,1.933e-06,0.00026082,1.4307e-09,4.3131e-09,3.2994e-12,1.3685e-08,1.1254e-07,3.3603e-13,2.7325e-06,5.4332e-08,1.7191e-08,0.0016432,5.9732e-05,0.98991,4.4878e-11,4.1097e-07,7.7916e-08,6.0758e-07,2.8732e-11,7.5952e-06,5.1092e-08,9.5873e-08,3.1521e-07,0.99941,1201.9,2.4109e-08,6.2844e-05,1.2118e-06,2.3808e-05,9.9843e-06,3.3003e-05,0.0035448,0,7.887e-06,0.0002577,3.0446e-05,1.4353e-08,1.9481e-17,7.0531e-05,2.4821e-14,2.403e-05,7.5962e-06,2.1538e-08,1.933e-06,0.00026082,1.4307e-09,4.3131e-09,3.2994e-12,1.3685e-08,1.1254e-07,3.3603e-13,2.7325e-06,5.4332e-08,1.7191e-08,0.0016432,5.9732e-05,0.98991,4.4878e-11,4.1097e-07,7.7916e-08,6.0758e-07,2.8732e-11,7.5952e-06,5.1092e-08,9.5873e-08,3.1521e-07,0,0.99596,0.99596,6.8764e-31,1.0298e-08,1,1,0,0,1,0,0,5.2625e-06,0,-1.0615e-06,-9.734,2.6392,1,0,0,0,4.8169e-05,1.0298e-08,0,0,0,0.77994,8.21e+06,0,0.035226,0.43984,0,0.43984,0,0,0.0033963,1,0.003,0,0.003,0.005
1e+05,0,-0.44046,5.2395,2.0077e-08,7.4912e-05,1.4831e-06,2.2927e-05,6.4358e-06,3.793e-05,0.0070604,0,6.6319e-06,0.00033323,3.8157e-05,8.0899e-09,8.589e-18,8.5076e-05,1.7434e-14,2.239e-05,8.0084e-06,2.5027e-08,2.4532e-06,0.00028784,1.6176e-09,2.8389e-09,3.8069e-12,1.5511e-08,1.0665e-07,1.3587e-13,2.3743e-06,5.6431e-08,1.6554e-08,0.0022768,7.1561e-05,0.98342,4.1064e-11,3.0203e-07,9.4167e-08,9.4066e-07,3.3503e-11,8.4867e-06,3.9196e-08,4.5785e-08,1.7784e-07,0.99927,1198.9,2.0077e-08,7.4912e-05,1.4831e-06,2.2927e-05,6.4358e-06,3.793e-05,0.0070604,0,6.6319e-06,0.00033323,3.8157e-05,8.0899e-09,8.589e-18,8.5076e-05,1.7434e-14,2.239e-05,8.0084e-06,2.5027e-08,2.4532e-06,0.00028784,1.6176e-09,2.8389e-09,3.8069e-12,1.5511e-08,1.0665e-07,1.3587e-13,2.3743e-06,5.6431e-08,1.6554e-08,0.0022768,7.1561e-05,0.98342,4.1064e-11,3.0203e-07,9.4167e-08,9.4066e-07,3.3503e-11,8.4867e-06,3.9196e-08,4.5785e-08,1.7784e-07,0,0.99377,0.99377,1.601e-36,9.652e-09,1,1,0,0,1,0,0,5.2892e-06,0,-1.364e-06,19.422,2.8119,1,0,0,0,4.793e-05,9.652e-09,0,0,0,0.15512,8.21e+06,0,0.04817,0.44081,0,0.44081,0,0,0.0067782,1,0.0031,0,0.0031,0.005
1e+05,0,-0.4545,5.2137,1.6782e-08,8.3722e-05,1.6891e-06,2.2184e-05,3.6256e-06,4.0247e-05,0.013075,0,4.6777e-06,0.00039757,4.5281e-05,4.4623e-09,4.2988e-18,9.31e-05,1.1944e-14,2.1268e-05,8.3073e-06,2.5967e-08,3.1777e-06,0.00030402,1.7652e-09,1.9261e-09,4.0941e-12,1.7015e-08,9.723e-08,6.5068e-14,2.2643e-06,6.5834e-08,1.4569e-08,0.0031355,8.0887e-05,0.97348,3.7535e-11,1.8033e-07,8.499e-08,1.2474e-06,3.4044e-11,8.9361e-06,3.2742e-08,2.1513e-08,9.51e-08,0.99906,1191.1,1.6782e-08,8.3722e-05,1.6891e-06,2.2184e-05,3.6256e-06,4.0247e-05,0.013075,0,4.6777e-06,0.00039757,4.5281e-05,4.4623e-09,4.2988e-18,9.31e-05,1.1944e-14,2.1268e-05,8.3073e-06,2.5967e-08,3.1777e-06,0.00030402,1.7652e-09,1.9261e-09,4.0941e-12,1.7015e-08,9.723e-08,6.5068e-14,2.2643e-06,6.5834e-08,1.4569e-08,0.0031355,8.0887e-05,0.97348,3.7535e-11,1.8033e-07,8.499e-08,1.2474e-06,3.4044e-11,8.9361e-06,3.2742e-08,2.1513e-08,9.51e-08,0,0.99081,0.99081,9.9743e-19,8.2367e-09,1,1,0,0,1,0,0,4.6377e-06,0,-1.6419e-06,65.658,2.6929,1,0,0,0,4.7484e-05,8.2367e-09,0,0,0,-0.38685,8.21e+06,0,0.068889,0.44359,0,0.44359,0,0,0.012587,1,0.0032,0,0.0032,0.005
99999,0,-0.46032,5.1475,1.4344e-08,8.7217e-05,1.7815e-06,2.1584e-05,1.8788e-06,3.8611e-05,0.022765,0,2.7925e-06,0.00043135,5.1718e-05,2.478e-09,2.5566e-18,9.4844e-05,7.7733e-15,2.0537e-05,8.4412e-06,2.2929e-08,3.9165e-06,0.00030511,1.8847e-09,1.2868e-09,4.0856e-12,1.8299e-08,8.7438e-08,3.3382e-14,2.2552e-06,9.0654e-08,1.2023e-08,0.0042711,8.6215e-05,0.95883,3.3169e-11,8.6775e-08,5.6919e-08,1.418e-06,2.8197e-11,8.8034e-06,2.8376e-08,9.0359e-09,4.3959e-08,0.99926,1174.3,1.4344e-08,8.7217e-05,1.7815e-06,2.1584e-05,1.8788e-06,3.8611e-05,0.022765,0,2.7925e-06,0.00043135,5.1718e-05,2.478e-09,2.5566e-18,9.4844e-05,7.7733e-15,2.0537e-05,8.4412e-06,2.2929e-08,3.9165e-06,0.00030511,1.8847e-09,1.2868e-09,4.0856e-12,1.8299e-08,8.7438e-08,3.3382e-14,2.2552e-06,9.0654e-08,1.2023e-08,0.0042711,8.6215e-05,0.95883,3.3169e-11,8.6775e-08,5.6919e-08,1.418e-06,2.8197e-11,8.8034e-06,2.8376e-08,9.0359e-09,4.3959e-08,0,0.98703,0.98703,8.0937e-16,9.1707e-09,1,1,0,0,1,0,0,3.3471e-06,0,-1.857e-06,127.86,2.2196,1,0,0,0,4.6694e-05,9.1707e-09,0,0,0,-0.84284,8.21e+06,0,0.10006,0.44987,0,0.44987,0,0,0.021996,1,0.0033,0,0.0033,0.005
99999,0,-0.45316,5.0174,1.2551e-08,8.4863e-05,1.7369e-06,2.1055e-05,9.3042e-07,3.3421e-05,0.037534,0,1.4355e-06,0.00042475,5.7827e-05,1.4466e-09,2.0524e-18,9.1811e-05,4.5103e-15,2.0065e-05,8.3588e-06,1.5951e-08,4.3393e-06,0.00029153,1.9843e-09,7.869e-10,3.7602e-12,1.9454e-08,7.9362e-08,1.7726e-14,2.2693e-06,1.4911e-07,9.6489e-09,0.0057401,8.6818e-05,0.93802,2.7722e-11,3.1884e-08,2.7087e-08,1.4072e-06,1.7342e-11,8.1758e-06,2.4734e-08,3.0089e-09,1.5716e-08,0.99976,1142.4,1.2551e-08,8.4863e-05,1.7369e-06,2.1055e-05,9.3042e-07,3.3421e-05,0.037534,0,1.4355e-06,0.00042475,5.7827e-05,1.4466e-09,2.0524e-18,9.1811e-05,4.5103e-15,2.0065e-05,8.3588e-06,1.5951e-08,4.3393e-06,0.00029153,1.9843e-09,7.869e-10,3.7602e-12,1.9454e-08,7.9362e-08,1.7726e-14,2.2693e-06,1.4911e-07,9.6489e-09,0.0057401,8.6818e-05,0.93802,2.7722e-11,3.1884e-08,2.7087e-08,1.4072e-06,1.7342e-11,8.1758e-06,2.4734e-08,3.0089e-09,1.5716e-08,0,0.98243,0.98243,6.1992e-14,1.8844e-08,1,1,0,0,1,0,0,1.7885e-06,0,-2.0188e-06,196.62,1.4624,1,-1.3956e-05,0,0,4.5365e-05,1.8844e-08,0,0,0,-1.2283,8.21e+06,0,0.14498,0.46246,0,0.46246,0,0,0.036432,1,0.0034,0,0.0034,0.005
99998,0,-0.41925,4.7049,1.0681e-08,7.5714e-05,1.5139e-06,2.0295e-05,3.5146e-07,2.5222e-05,0.066784,0,4.9465e-07,0.00037041,6.3806e-05,8.5787e-10,3.7902e-18,8.3459e-05,1.6421e-15,1.9606e-05,7.912e-06,5.1506e-09,4.0787e-06,0.0002614,2.093e-09,2.7868e-10,3.0497e-12,2.0875e-08,7.1806e-08,1.0614e-14,2.2428e-06,3.0872e-07,7.2364e-09,0.0082846,8.1255e-05,0.89913,2.0137e-11,4.2646e-09,5.0748e-09,1.2155e-06,4.3494e-12,7.019e-06,2.1396e-08,3.5428e-10,1.9153e-09,0.99998,1066.7,1.0681e-08,7.5714e-05,1.5139e-06,2.0295e-05,3.5146e-07,2.5222e-05,0.066784,0,4.9465e-07,0.00037041,6.3806e-05,8.5787e-10,3.7902e-18,8.3459e-05,1.6421e-15,1.9606e-05,7.912e-06,5.1506e-09,4.0787e-06,0.0002614,2.093e-09,2.7868e-10,3.0497e-12,2.0875e-08,7.1806e-08,1.0614e-14,2.2428e-06,3.0872e-07,7.2364e-09,0.0082846,8.1255e-05,0.89913,2.0137e-11,4.2646e-09,5.0748e-09,1.2155e-06,4.3494e-12,7.019e-06,2.1396e-08,3.5428e-10,1.9153e-09,0,0.97522,0.97522,1.5931e-12,4.7473e-08,1,1,0,0,1,0,0,3.3477e-07,0,-2.9214e-06,268.49,0.48721,1,0.0013729,0,0,4.2451e-05,4.7473e-08,0,0,0,-1.6884,8.21e+06,0,0.24271,0.49537,0,0.49537,0,0,0.065282,1,0.0035,0,0.0035,0.005
99998,0,-0.39818,4.5251,1.0026e-08,7.1632e-05,1.4079e-06,1.9919e-05,2.4308e-07,2.3268e-05,0.081847,0,3.2544e-07,0.00034563,6.4181e-05,7.8477e-10,9.4207e-18,7.9466e-05,1.0855e-15,1.9402e-05,7.6503e-06,2.5871e-09,3.8004e-06,0.0002495,2.1186e-09,1.6025e-10,2.796e-12,2.1301e-08,6.9506e-08,1.191e-14,2.1994e-06,3.8722e-07,6.5537e-09,0.0094288,7.7594e-05,0.88023,1.7687e-11,1.3645e-09,2.2093e-09,1.1318e-06,1.9048e-12,6.5903e-06,2.098e-08,1.01e-10,5.3681e-10,1,1026.5,1.0026e-08,7.1632e-05,1.4079e-06,1.9919e-05,2.4308e-07,2.3268e-05,0.081847,0,3.2544e-07,0.00034563,6.4181e-05,7.8477e-10,9.4207e-18,7.9466e-05,1.0855e-15,1.9402e-05,7.6503e-06,2.5871e-09,3.8004e-06,0.0002495,2.1186e-09,1.6025e-10,2.796e-12,2.1301e-08,6.9506e-08,1.191e-14,2.1994e-06,3.8722e-07,6.5537e-09,0.0094288,7.7594e-05,0.88023,1.7687e-11,1.3645e-09,2.2093e-09,1.1318e-06,1.9048e-12,6.5903e-06,2.098e-08,1.01e-10,5.3681e-10,0,0.97248,0.97248,3.6232e-12,5.8839e-08,1,1,0.33333,0,1,0,0,1.127e-07,0,-2.838e-06,282.73,0.27281,1,0.009344,0,0,4.0943e-05,5.8839e-08,0,0,0,-1.8511,8.21e+06,0,0.23358,0.51523,0,0.51523,0,0,0.08024,1,0.0036,0,0.0036,0.005
99998,0,-0.28568,3.8457,8.1122e-09,6.0863e-05,1.1339e-06,1.8602e-05,7.8834e-08,2.0781e-05,0.133,0,1.0144e-07,0.00028326,6.0734e-05,8.4413e-10,4.9255e-15,6.7878e-05,4.2281e-16,1.8641e-05,6.8459e-06,8.8379e-11,2.989e-06,0.00021896,2.1614e-09,1.9665e-11,2.2409e-12,2.2292e-08,6.3512e-08,2.2587e-14,1.9649e-06,6.0532e-07,4.9672e-09,0.013302,6.6023e-05,0.8183,1.1899e-11,3.7667e-11,5.7039e-10,9.2512e-07,4.2004e-14,5.5228e-06,2.19e-08,1.0915e-12,1.0187e-11,1,889.85,8.1122e-09,6.0863e-05,1.1339e-06,1.8602e-05,7.8834e-08,2.0781e-05,0.133,0,1.0144e-07,0.00028326,6.0734e-05,8.4413e-10,4.9255e-15,6.7878e-05,4.2281e-16,1.8641e-05,6.8459e-06,8.8379e-11,2.989e-06,0.00021896,2.1614e-09,1.9665e-11,2.2409e-12,2.2292e-08,6.3512e-08,2.2587e-14,1.9649e-06,6.0532e-07,4.9672e-09,0.013302,6.6023e-05,0.8183,1.1899e-11,3.7667e-11,5.7039e-10,9.2512e-07,4.2004e-14,5.5228e-06,2.19e-08,1.0915e-12,1.0187e-11,0,0.96544,0.96544,1.6205e-11,8.6666e-08,1,1,1.25,0,1,0,0,9.6556e-10,0,-2.5491e-06,207.82,0.040595,1,67.282,0,0,3.5851e-05,8.6666e-08,0,0,0,-2.2745,8.21e+06,0,0.20976,0.59412,0,0.59411,0,0,0.13131,1,0.0037,0,0.0037,0.005
99997,0,-0.091422,2.5093,5.2886e-09,4.7096e-05,8.2763e-07,1.5982e-05,7.5539e-09,1.8522e-05,0.22146,0,2.0946e-08,0.00021121,5.1162e-05,2.4776e-09,2.5717e-11,5.1812e-05,2.2447e-16,1.6932e-05,5.7083e-06,2.8499e-12,2.0795e-06,0.00017801,2.0679e-09,7.0434e-12,1.6115e-12,2.2303e-08,5.4485e-08,4.1821e-14,1.4207e-06,8.0692e-07,3.2475e-09,0.021576,5.0429e-05,0.7151,5.9642e-12,2.7186e-12,5.8035e-10,6.8617e-07,2.5477e-16,4.2668e-06,2.8354e-08,1.1173e-13,2.544e-12,1,678.93,5.2886e-09,4.7096e-05,8.2763e-07,1.5982e-05,7.5539e-09,1.8522e-05,0.22146,0,2.0946e-08,0.00021121,5.1162e-05,2.4776e-09,2.5717e-11,5.1812e-05,2.2447e-16,1.6932e-05,5.7083e-06,2.8499e-12,2.0795e-06,0.00017801,2.0679e-09,7.0434e-12,1.6115e-12,2.2303e-08,5.4485e-08,4.1821e-14,1.4207e-06,8.0692e-07,3.2475e-09,0.021576,5.0429e-05,0.7151,5.9642e-12,2.7186e-12,5.8035e-10,6.8617e-07,2.5477e-16,4.2668e-06,2.8354e-08,1.1173e-13,2.544e-12,0,0.95879,0.95879,8.1904e-12,8.6215e-08,1,1,2,0,1,0,0,1.74e-10,0,3.1689e-06,-160.77,0.0010933,1,2832.3,0,0,2.7725e-05,8.6215e-08,0,0,0,-2.7682,8.21e+06,0,0.19516,0.77849,0,0.77849,0,0,0.22,1,0.0038,0,0.0038,0.005
99996,-7.9203e-05,0.035773,0.84213,2.7935e-09,3.2471e-05,5.2842e-07,1.2383e-05,1.6129e-09,1.4199e-05,0.31456,0,9.4828e-09,0.00013942,4.0258e-05,5.8326e-09,1.6654e-10,3.5133e-05,1.4796e-16,1.4538e-05,4.4337e-06,2.4914e-12,1.2242e-06,0.00013046,1.6615e-09,8.4044e-12,9.1122e-13,1.9706e-08,4.3792e-08,6.4473e-14,7.8362e-07,8.8116e-07,1.8591e-09,0.04052,3.4973e-05,0.59902,1.9821e-12,1.494e-12,9.8197e-10,4.4582e-07,1.8553e-16,3.064e-06,4.5507e-08,2.8989e-14,9.2381e-13,1,472.69,2.7935e-09,3.2471e-05,5.2842e-07,1.2383e-05,1.6129e-09,1.4199e-05,0.31456,0,9.4828e-09,0.00013942,4.0258e-05,5.8326e-09,1.6654e-10,3.5133e-05,1.4796e-16,1.4538e-05,4.4337e-06,2.4914e-12,1.2242e-06,0.00013046,1.6615e-09,8.4044e-12,9.1122e-13,1.9706e-08,4.3792e-08,6.4473e-14,7.8362e-07,8.8116e-07,1.8591e-09,0.04052,3.4973e-05,0.59902,1.9821e-12,1.494e-12,9.8197e-10,4.4582e-07,1.8553e-16,3.064e-06,4.5507e-08,2.8989e-14,9.2381e-13,0,0.95457,0.95457,0.0002311,8.699e-08,0.99977,0.99787,1,0,1,0,0,7.5227e-11,0,1.9946e-05,-359.33,3.4638e-05,1,-427.05,0,0.25,1.9297e-05,8.699e-08,0,0,0,-3.4435,1.9074e+06,107.74,0.11041,1.3428,0,1.1117,0.014516,0,0.31172,1,0.0039,0,0.0039,0.005
1.0001e+05,-1.3168e-06,-0.016592,-0.018392,3.0522e-12,3.952e-08,5.8931e-10,1.6599e-08,1.8679e-12,1.884e-08,0.00058818,0.98593,1.2518e-11,1.631e-07,5.6641e-08,1.3612e-11,4.706e-13,4.236e-08,2.1259e-19,2.1429e-08,5.9624e-09,1.3571e-15,1.2775e-09,1.6614e-07,2.0565e-12,1.1412e-14,8.1644e-16,2.7402e-11,6.0992e-11,1.3608e-16,7.6632e-10,1.3753e-09,2.1039e-12,0.00011212,4.2899e-08,0.00088875,1.1541e-15,4.138e-15,3.9273e-12,4.9815e-10,5.0365e-19,3.9339e-09,1.292e-10,1.9507e-17,1.1089e-15,1,301.72,1.8492e-09,2.3832e-05,3.5534e-07,1.0011e-05,1.1423e-09,1.1364e-05,0.35579,0.98756,7.609e-09,9.8348e-05,3.4162e-05,8.2182e-09,2.8279e-10,2.5549e-05,1.2919e-16,1.2933e-05,3.598e-06,9.0189e-13,7.7015e-07,0.00010019,1.238e-09,6.896e-12,4.9202e-13,1.6513e-08,3.6816e-08,8.2079e-14,4.6375e-07,8.2846e-07,1.275e-09,0.067852,2.587e-05,0.53637,7.0336e-13,2.5411e-12,2.3611e-09,3.0028e-07,1.7957e-16,2.3756e-06,7.807e-08,1.1784e-14,6.7581e-13,0.98756,0.96036,0.98752,0.66024,4.2627e-06,0.33976,0.38414,1,1,1,0,0.00010561,-3.4028e-11,-3.4784e-05,-5.2813e-07,-77.697,0.0022289,1,-1008.9,0,0.75,0.00051956,4.2627e-06,0,8.0774e-05,0,37.855,8122.3,9093,189.65,574.99,574.41,0.57993,0.032974,1,0.27766,1,0.004,0,0.004,0.005
